iIndex,sQuestion,lEquations
1,A writing workshop enrolls novelists and poets in a ratio of 5 to 3. There are 24 people at the workshop. How many novelists are there? How many poets are there?,b*x-a*y=0;1*x+1*y=c
2,You are selling tickets for a high school play. Student tickets cost 4 dollars and general admission tickets cost 6 dollars. You sell 525 tickets and collect 2876 dollars. How many student tickets and general admission tickets did you sell?,a*x+b*y=d;1*x+1*y=c
3,A store is selling compact discs for 10.50 dollars and 8.50 dollars. You buy 10 discs and spend a total of 93 dollars. How many compact discs did you buy that cost 10.50 dollars? How many did you buy that cost 8.50 dollars?,a*x+b*y=d;1*x+1*y=c
4,"Bob invested 6100 dollars in 2 funds , which pay 7 % and 6 % simple interest respectively. The combined interest he earned for both funds was 405 dollars for one year. How many dollars was invested at 7 %? How much was invested at 6 %?",b*x+c*y=d;1*x+1*y=a
5,Your teacher is giving you a test worth 100 points and containing 40 questions. There are 2 point and 4 point questions on the test. How many two point questions are there? How many 4 point questions?,c*x+d*y=a;1*x+1*y=b
6,You have 160 dollars and save 7 dollars per week. Your friend has 210 dollars and saves 5 dollars per week. After how many weeks will each of you have saved the same amount of money?,x=(a-c)/(d-b)
7,"A theater has 80 seats. On opening night , they sold out , selling adult tickets for 12 dollars each and child tickets for 5 dollars each. If they made a total of 519 dollars , how many child tickets were sold?",b*x+c*y=d;1*x+1*y=a
8,A 20-foot board is cut into 2 pieces. Twice the length of the shorter piece is 4 feet more than the length of the longer piece. Find the length of the shorter piece.,c*x+1*y=d;1*x+1*y=a
9,You are traveling to your mothers house that is 234 miles away. If you are currently twice as far from your house as you are from your mothers house how far have you traveled? Round to the nearest tenth mile.,1*x-b*y=0;1*x+1*y=a
10,"Colombian coffee beans cost 5.50 dollars per pound, while Peruvian coffee beans cost 4.25 dollars per pound. We want to mix the beans together so as to produce a 40-pound bag , costing 4.60 dollars per pound. How many pounds of Columbian beans and how many pounds of Peruvian beans should be used?",a*x+b*y=c*d;1*x+1*y=c
11,"A total of 10,000 dollars is invested in 2 funds paying 5 % and 7 % annual interest. The combined annual interest is 630 dollars. How much of the 10,000 dollars is invested at 5 %? How much at 7 %?",b*x+c*y=d;1*x+1*y=a
12,"For his long distance phone service Milan pays a 2 dollars monthly fee plus 12 cents per minute. Last month , Milan 's long distance bill was 23.36 dollars. For how many minutes was Milan billed for?",x=(c-a)/b
13,"The maximum load that a horizontal beam can carry is directly proportional to its width. If a beam 1.5 inches wide can support a load of 250 pounds , find the load that a beam of the same type can support if its width is 3.5 inches?",a*x+0*y=b;c*x-1*y=0
14,A chemist needs to make 30 ounces of a 25 % alcohol solution by mixing together a 15 % alcohol solution with a 40 % alcohol solution. How many ounces of the 15 % solution should he use? How many ounces of the 40 % solution?,b*x+d*y=c*a;1*x+1*y=a
15,"The value of a sport utility vehicle this year is 16,000 dollars , which is 0.8 of what its value was last year. Find the value of the vehicle last year.",x=a/b
16,Arianne is mixing a solution for Chemistry class. She has a 25 % copper solution and a 50 % copper solution. How many milliliters of the 25 % solution and 50 % solution should she mix to make 1000 milliliters of a 45 % solution?,a*x+b*y=d*c;1*x+1*y=c
17,The sum of 2 numbers is 50. The first number is 43 less than twice the second number. Find the smaller number. Find the larger number.,d*x-1*y=c;1*x+1*y=b
18,"Adult tickets for a play cost 11 dollars and the child tickets cost 10 dollars. If there were 23 people at a performance and the theater collected 246 dollars from tickets sales , how many children attended the play? How many adults attended the play?",a*x+b*y=d;1*x+1*y=c
19,The Kings won two less than three times as many games as they lost. They played 82 games. How many wins and losses did the team have?,1*x-b*y=a;1*x+1*y=c
20,Find the amount of 6 percent acid solution and the amount of a 14 percent acid solution that Pat should combine to prepare 50 cubic-centimeters of 12 percent solution.,a*x+b*y=d*c;1*x+1*y=c
21,"The Johnson Farm has 500 acres of land allotted for cultivating corn and wheat. The cost of cultivating corn and wheat is 42 dollars for corn and 30 dollars for wheat. Mr.Johnson has 18,600 dollars available for cultivating these crops. If he used all the land and entire budget , how many acres of corn and how many acres of wheat should he plant?",b*x+c*y=d;1*x+1*y=a
22,Trenton sells electronic supplies. Each week he earns 190 dollars plus commission equal to 4 % of his sales. This week his goal is to earn no less than 500 dollars. Write and solve an inequality to find the amount of sales he must make to reach his goal.,x=(c-a)/b
23,"A 68-foot pipe is cut into 2 pieces , one of which is 12 feet less than the other. What is the length of the shorter piece in feet?",1*x+1*y=a;1*x-1*y=b
24,Anne and Nancy use a metal alloy that is 24.9 % copper to make jewelry. How many ounces of a 20 % alloy must be mixed with a 27 % alloy to form 100 ounces of the desired alloy?,b*x+c*y=d*a;1*x+1*y=d
25,Nine books are to be bought by a student. Some cost 6 dollars each and the remainder cost 6.50 dollars each. The total amount spent was 56 dollars. How many 6-dollar books were sold? How many 6.50-dollar books were sold?,b*x+c*y=d;1*x+1*y=a
26,The Booster Club voted on where they would go for their annual trip. A majority of the club voted to go to a baseball game. They bought 29 tickets. Some of the tickets cost 7 dollars per ticket and some cost 9 dollars per ticket. All of the tickets cost 225 dollars. How many 7-dollar tickets did they buy? How many 9-dollar tickets did they buy?,b*x+c*y=d;1*x+1*y=a
27,Kay spends 250 minutes per week exercising. Her ratio of time spent on aerobics to time spent on weight training is 3 to 2. How many minutes per week does she spend on aerobics? How many minutes per week does she spend on weight training?,c*x-b*y=0;1*x+1*y=a
28,Find 2 numbers whose sum is 64 and whose difference is 4. What is the smaller number? What is the larger number?,1*x+1*y=a;1*x-1*y=b
29,You are running a concession stand. You are selling hot dogs and soda. Each hot dog costs 1.50 dollars and each soda costs 0.50 dollars. You made a total of 78.50 dollars. You sold a total of 87 hot dogs and sodas combined. You must report the number of hot dogs and sodas sold. How many hot dogs and sodas were sold?,a*x+b*y=c;1*x+1*y=d
30,Find a number so that 10 less than 0.6667 the number is 0.25 the number.,x=a/(b-c)
31,"On Monday , Harold picked up three doughnuts and four large coffees for the office staff. He paid 4.91 dollars. On Tuesday Melinda picked up five doughnuts and six large coffees for the office staff. She paid 7.59 dollars. What is the cost of one doughnut? What is the cost of one large coffee?",a*x+b*y=c;d*x+e*y=f
32,"A semi truck travels on a paved road for 2 hours at an average speed of 20 miles per hour faster than it travels on a dirt road. The time spent on the dirt is 3 hours. If the entire trip is 200 miles , how fast is the truck traveling on the dirt road?",a*x+c*y=d;-1*x+1*y=b
33,Hockey teams receive 2 points for a win and 1 point for a tie. The wild cats once won a championship with 60 points. They won 9 more games than they tied. How many wins and how many ties did the Wildcats have?,a*x+b*y=c;1*x-1*y=d
34,The sum of 2 numbers is 84. One number is 3 times the other. Find the smaller number. Find the larger number.,-b*x1*y=0;1*x+1*y=a
35,"Tickets for a concert were priced at 9 dollars for students and 11 dollars for non-students. There were 2,000 tickets sold for a total of 20,960 dollars. How many student ticket were sold?",a*x+b*y=d;1*x+1*y=c
36,"Mary began walking home from school , heading south at a rate of 4 miles per hour. Sharon left school at the same time heading north at 6 miles per hour. How long will it take for them to be 3 miles apart?",x=c/(a+b)
37,A bank teller has 54 5-dollar and 20-dollar bills in her cash drawer. The value of the bills is 780 dollars. How many 5 dollars bills are there?,b*x+c*y=d;1*x+1*y=a
38,"A total of 10,000 dollars was invested in two bond mutual funds , a junk bond fund and a government bond fund. The junk fund is risky and yields 11 % interest. The safer government bond fund yields only 5 %. The year 's total income from the two investments was 740 dollars. How much was invested in each fund?",b*x+c*y=d;1*x+1*y=a
39,A student is pricing 2 different picture packages. John 's Photo World charges 2.75 dollars per sheet and a one time sitting fee of 125 dollars. Sam 's Picture Emporium charges 1.50 dollars per sheet and a one time sitting fee of 140 dollars. For how many sheets of pictures do the 2 companies charge the same amount?,x=(d-b)/(a-c)
40,"Suppose you invest 1,500 dollars in equipment to put pictures on T-shirts. You buy each T-shirt for 3 dollars. After you have placed the pictures on a shirt , you sell it for 20 dollars. How many T-shirts must you sell to break even?",x=a/(c-b)
41,"Norman and Suzanne Scarpulla own 35 shares of Mcdonald 's stocks and 69 shares of the Ohio Art Company stock. On a particular day in 2011 , their stock portfolio consisting of these two stocks was worth 2,814 dollars. The Mcdonalds stock was 70 dollars more per share than the Ohio Art Company stock. What was the price of McDonalds stock on that day? What was the cost of the Ohio Art Company stock on that day?",a*x+b*y=c;1*x-1*y=d
42,"The difference between two numbers is 6. If you double both numbers , the sum is 36. Find the two numbers.",c*x+c*y=d;1*x-1*y=b
43,The difference between two numbers is 20 and their sum is 48. Find the numbers.,1*x+1*y=c;1*x-1*y=b
44,"A car rented for 29 dollars per day plus 0.08 dollars per mile. Julia paid 46.12 dollars for a 1-day rental. How far did she drive , in miles?",x=(c-a)/b
45,You sell tickets for admission to your school play and collect a total of 104 dollars. Admission prices are 6 dollars for adults and 4 dollars for children. You sold 21 tickets. How many adult tickets did you sell? How many children 's tickets did you sell?,b*x+c*y=a;1*x+1*y=d
46,"A worker gets 60 cents an hour for ordinary time and 90 cents an hour for overtime. If she gets 32.40 dollars for a 50 hour week , how many hours are overtime?",a*x+b*y=c;1*x+1*y=d
47,"A student works 2 part-time jobs. He earns 8.00 dollars an hour working at the college library and 15.00 dollars and hour for construction work. To save time for study , be limits his work to 25 hours a week. If he enjoys the work at the library more , how many hours can he work at the library and still earn at 300 dollars a week?",b*x+c*y=d;1*x+1*y=e
48,"There are some 2-dollar coins and some 5-dollar coins. There are 40 coins , which give a total amount of 125 dollars. How many 2-dollar coins are there? How many 5-dollar coins are there?",a*x+b*y=c;1*x+1*y=d
49,"At a hotel one night , 260 rooms were booked. Some were single rooms and some were double rooms. The single rooms cost 35 dollars each and the double rooms cost 60 dollars. The hotel made 14000 dollars that night. How many single rooms and double rooms were booked?",b*x+c*y=d;1*x+1*y=a
50,0.5 of a certain number is 10 more than 0.1667 of a number. Find the number.,x=b/(a-c)
51,One gallon container is full of a 75 % alcohol solution. How much must be drained off and replaced by a 50 % alcohol solution to produce one gallon of 65 % alcohol solution?,b*x+c*x=e*d;1*x+1*y=d
52,"An investor will invest a total of 15000 dollars in 2 accounts , one paying 4 % annual simple interest and the other 3 %. If he wants to earn 550 dollars annual interest , how much should he invest at 4 %? How much at 3 %?",b*x+c*y=d;1*x+1*y=a
53,"Stan invested 17,000 dollars , part at 18 % and part at 4 %. If the total interest at the end of the year is 1,380 dollars , how much did he invest at 18 %? How much at 4 %?",b*x+c*y=d;1*x+1*y=a
54,"Red cards are worth 3 credits , while blue cards are worth 5 credits. You need any combination of 20 cards to play a game. With 84 credits to buy cards , how many blue cards will you have when you play? how many red cards will you have when you play?",a*x+b*y=c;1*x+1*y=d
55,"Ron and Kathy are ticket-sellers , Ron handling student tickets that sell for 2.00 dollars each and Kathy selling adult tickets for 4.50 dollars each. If their total income for 20 tickets was 60.00 dollars , how many did Ron sell?",a*x+b*y=c;1*x+1*y=d
56,Juan and Peter both leave a shopping center at the same time going in opposite directions. Juan is on his bike and travels 3 miles per hour faster than Peter who is on his skateboard. After 1.5 hours they are 19.5 miles apart. How fast does Peter travel?,a*x+a*y=b;1*x-1*y=c
